list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
brand	beer_dragon_nitro_pint_330ml	Dragon Nitro Pint 330ml			Beer										
brand	beer_dragon_silver_can_330ml	Dragon Silver Can 330ml			Beer										
brand	beer_ganzberg_can_330ml	Ganzberg Can 330ml			Beer										
brand	beer_ganzberg_gold_lite_can_330ml	Ganzberg Gold Lite Can 330ml			Beer										
brand	beer_ganzberg_snow_can_330ml	Ganzberg Snow Can 330ml			Beer										
brand	beer_greet_can_330ml	Greet Can 330ml			Beer										
brand	beer_greet_lite_can_330ml	Greet Lite Can 330ml			Beer										
brand	beer_guiness_can_330ml	Guiness Can 330ml			Beer										
brand	beer_hanuman_can_330ml	Hanuman Can 330ml			Beer										
brand	beer_hanuman_pint_330ml	Hanuman Pint 330ml			Beer										
brand	beer_hanuman_lite_can_330ml	Hanuman Lite Can 330ml			Beer										
brand	beer_hanuman_black_can_330ml	Hanuman Black Can 330ml			Beer										
brand	beer_hanuman_black_pint_330ml	Hanuman Black Pint 330ml			Beer										
brand	beer_krud_can_330ml	Krud Can 330ml			Beer										
brand	beer_krud_pint_330ml	Krud Pint 330ml			Beer										
brand	beer_krud_lite_can_330ml	Krud Lite Can 330ml			Beer										
brand	beer_krud_lite_pint_330ml	Krud Lite Pint 330ml			Beer										
brand	beer_singha_can_330ml	Singha Beer Can 330ml			Beer										
brand	beer_singha_pint_330ml	Signha Beer Pint 330ml			Beer										
brand	beer_tiger_can_330ml	Tiger Can 330ml			Beer										
brand	beer_tiger_pint_330ml	Tiger Pint 330ml			Beer										
brand	beer_tiger_crystal_can_330ml	Tiger Crystal Can 330ml			Beer										
brand	beer_tiger_crystal_pint_330ml	Tiger Crystal Pint 330ml			Beer										
brand	beer_vattanac_can_330ml	Vattanac Can 330ml			Beer										
brand	beer_vattanac_pint_330ml	Vattanac Pint 330ml			Beer										
brand	beer_vattanac_lagerade_can_330ml	Vattanac Lagerade Can 330ml			Beer										
